article_title,question_id,question,answer_text,answer_start_offset,sentence_text
Annelid,572826b34b864d19001645d3,What language does 'prostomium' come from?,Greek,575,"The frontmost section, called the prostomium (Greek προ- meaning ""in front of"" and στομα meaning ""mouth"") contains the brain and sense organs, while the rearmost, called the pygidium (Greek πυγιδιον, meaning ""little tail"") or periproct contains the anus, generally on the underside."
Indigenous_peoples_of_the_Americas,57318658e6313a140071d02e,Where was the Aztec's central capital located?,Tenochtitlan,555,"The territory of modern-day Mexico was home to numerous indigenous civilizations prior to the arrival of the Spanish conquistadores: The Olmecs, who flourished from between 1200 BCE to about 400 BCE in the coastal regions of the Gulf of Mexico; the Zapotecs and the Mixtecs, who held sway in the mountains of Oaxaca and the Isthmus of Tehuantepec; the Maya in the Yucatan (and into neighbouring areas of contemporary Central America); the Purépecha in present-day Michoacán and surrounding areas, and the Aztecs/Mexica, who, from their central capital at Tenochtitlan, dominated much of the centre and south of the country (and the non-Aztec inhabitants of those areas) when Hernán Cortés first landed at Veracruz."
Strasbourg,5728110f4b864d1900164385,Who sent deserters families to concentration camps?,Germans,390,"Many tried to escape from the incorporation, join the French Resistance, or desert the Wehrmacht but many couldn't because they were running the risk of having their families sent to work or concentration camps by the Germans."
Gamal_Abdel_Nasser,572825df2ca10214002d9f09,How did Syria and Jordan see Israel's plans?,act of war,218,"In January 1964, Nasser called for an Arab League summit in Cairo to establish a unified Arab response against Israel's plans to divert the Jordan River's waters for economic purposes, which Syria and Jordan deemed an act of war."
Gamal_Abdel_Nasser,5727eecd3acd2414000df02d,What kind of biographies did Nasser read?,nationalist leaders,541,"He read the Qur'an, the sayings of Muhammad, the lives of the Sahaba (Muhammad's companions), and the biographies of nationalist leaders Napoleon, Ataturk, Otto von Bismarck, and Garibaldi and the autobiography of Winston Churchill."
Cardinal_(Catholicism),56df0244c65bf219000b3ecc,What color is the hat?,white,260,"When not celebrating Mass but still serving a liturgical function, such as the semiannual Urbi et Orbi papal blessing, some Papal Masses and some events at Ecumenical Councils, cardinal deacons can be recognized by the dalmatics they would don with the simple white mitre (so called mitra simplex)."
Napoleon,5726a23c708984140094cc72,The Erfurt Convention recognized the Russian takeover of which formerly Swedish possession?,Finland,427,"The two sides reached an agreement, the Erfurt Convention, that called upon Britain to cease its war against France, that recognized the Russian conquest of Finland from Sweden, and that affirmed Russian support for France in a possible war against Austria ""to the best of its ability."""
Middle_Ages,56fb66c9b28b3419009f1d30,What was the eastern church subsequently known as?,the Orthodox Church,901,"The formal break came in 1054, when the papacy and the patriarchy of Constantinople clashed over papal supremacy and excommunicated each other, which led to the division of Christianity into two churches—the western branch became the Roman Catholic Church and the eastern branch the Orthodox Church."
Queen_Victoria,5724d2c40a492a190043562c,Who was the Duchess's suspected lover?,Sir John Conroy,312,"Her mother was extremely protective, and Victoria was raised largely isolated from other children under the so-called ""Kensington System"", an elaborate set of rules and protocols devised by the Duchess and her ambitious and domineering comptroller, Sir John Conroy, who was rumoured to be the Duchess's lover."
Gramophone_record,57279f213acd2414000de814,What benefits to vinyl have been found in the 1950s?,wider range of audio,906,"This was done by the label mainly to take advantage of the wider audio frequency response that faster speeds like 78 rpm can provide for vinyl microgroove records, hence the label's name (obviously catering to the audiophiles of the 1950s ""hi-fi"" era, when stereo gear could provide a much wider range of audio than before)."
Buddhism,56d2429fb329da140004ec95,What is the term for understanding?,prajñā,240,"In Buddhist practice, it is said that while samatha meditation can calm the mind, only vipassanā meditation can reveal how the mind was disturbed to start with, which is what leads to insight knowledge (jñāna; Pāli ñāṇa) and understanding (prajñā Pāli paññā), and thus can lead to nirvāṇa (Pāli nibbāna)."
University_of_Kansas,56e79c8637bdd419002c4223,With what broadcasting company does KU have a contract?,ESPN Regional Television,474,"Under former athletic director Lew Perkins, the department's budget increased from $27.2 million in 2003 (10th in the conference) to currently over $50 million thanks in large part to money raised from a new priority seating policy at Allen Fieldhouse, a new $26.67 million eight-year contract with Adidas replacing an existing contract with Nike, and a new $40.2 million seven-year contract with ESPN Regional Television."
Apollo,5728c1a84b864d1900164d6b,"What name literally means ""far-shooting?""",Hecaërgus,305,"As a god of archery, Apollo was known as Aphetor (/əˈfiːtər/ ə-FEE-tər; Ἀφήτωρ, Aphētōr, from ἀφίημι, ""to let loose"") or Aphetorus (/əˈfɛtərəs/ ə-FET-ər-əs; Ἀφητόρος, Aphētoros, of the same origin), Argyrotoxus (/ˌɑːrdʒᵻrəˈtɒksəs/ AR-ji-rə-TOK-səs; Ἀργυρότοξος, Argyrotoxos, literally ""with silver bow""), Hecaërgus (/ˌhɛkiˈɜːrɡəs/ HEK-ee-UR-gəs; Ἑκάεργος, Hekaergos, literally ""far-shooting""), and Hecebolus (/hᵻˈsɛbələs/ hi-SEB-ə-ləs; Ἑκηβόλος, Hekēbolos, literally ""far-shooting"")."
Galicia_(Spain),5727dc4b4b864d1900163eac,What is the southern area's climate classified as?,Mediterranean,231,"The lands of Galicia are ascribed to two different areas in the Köppen climate classification: a south area (roughly, the province of Ourense and Pontevedra) with tendencies to have some summer drought, classified as a warm-summer Mediterranean climate (Csb), with mild temperatures and rainfall usual throughout the year; and the western and northern coastal regions, the provinces of Lugo and A Coruña, which are characterized by their Oceanic climate (Cfb), with a more uniform precipitation distribution along the year, and milder summers."
"New_Haven,_Connecticut",572975a46aef051400154f38,What is the name of the district nearing the harbor of the city?,Long Wharf,333,"In addition to Downtown, centered on the central business district and the Green, are the following neighborhoods: the west central neighborhoods of Dixwell and Dwight; the southern neighborhoods of The Hill, historic water-front City Point (or Oyster Point), and the harborside district of Long Wharf; the western neighborhoods of Edgewood, West River, Westville, Amity, and West Rock-Westhills; East Rock, Cedar Hill, Prospect Hill, and Newhallville in the northern side of town; the east central neighborhoods of Mill River and Wooster Square, an Italian-American neighborhood; Fair Haven, an immigrant community located between the Mill and Quinnipiac rivers; Quinnipiac Meadows and Fair Haven Heights across the Quinnipiac River; and facing the eastern side of the harbor, The Annex and East Shore (or Morris Cove)."
Film_speed,572655085951b619008f6fde,A lens with a setting of f/1.4 lets how much to hit the focal plane compared with a setting of f/2?,twice as much,702,"Thus, a lens set to f/1.4 allows twice as much light to strike the focal plane as a lens set to f/2."
Gamal_Abdel_Nasser,572800c5ff5b5019007d9abd,What did Nasser feel his military needed to oppose the West?,modern weaponry,446,Nasser felt that if he was to maintain Egypt's regional leadership position he needed to acquire modern weaponry to arm his military.
Religion_in_ancient_Rome,573200880fdd8d15006c66d1,What did the elite use instead of spells and potions to redress a wrong?,law and justice,642,"None of these defixiones seem produced by, or on behalf of the elite, who had more immediate recourse to human law and justice."
Premier_League,5733e07dd058e614000b6493,How many games were secured to broadcast by BSkyB?,116,405,"The deal was worth £1 billion a year domestically as of 2013–14, with BSkyB and BT Group securing the domestic rights to broadcast 116 and 38 games respectively."
Labour_Party_(UK),572849043acd2414000df892,How much were they ordered to pay in damages for the strike?,£ 23000.00,156,"Support for the LRC was boosted by the 1901 Taff Vale Case, a dispute between strikers and a railway company that ended with the union being ordered to pay £23,000 damages for a strike."
Bird,57321ac0e17f3d1400422691,When did the most dramatic human-caused avian extinctions occur?,"during the human colonisation of Melanesian, Polynesian, and Micronesian islands",370,"Over a hundred bird species have gone extinct in historical times, although the most dramatic human-caused avian extinctions, eradicating an estimated 750–1800 species, occurred during the human colonisation of Melanesian, Polynesian, and Micronesian islands."
British_Isles,57300a5fa23a5019007fcca5,Where are the Bailiwick of Jersey and the Bailiwick of Guernsey located?,in the Channel Islands,659,"The British Isles also include three Crown Dependencies: the Isle of Man and, by tradition, the Bailiwick of Jersey and the Bailiwick of Guernsey in the Channel Islands, although the latter are not physically a part of the archipelago."
American_Idol,56d37c5a59d6e41400146504,What U2 song was released by Lee DeWyze after winning American Idol?,Beautiful Day,239,"No new song was used as coronation song this year; instead, the two finalists each released a cover song – DeWyze chose U2's ""Beautiful Day"", and Bowersox chose Patty Griffin's ""Up to the Mountain""."
European_Central_Bank,57282fc54b864d190016469e,What kind of asset will the Federal Reserve purchase in mass quantities at a time of crisis?,commercial paper,439,There is no limit on the bonds that it can buy and one of the tools at its disposal in a financial crisis is to take such extraordinary measures as the purchase of large amounts of assets such as commercial paper.
Edmund_Burke,5726b1c0708984140094ce10,How many foreign supporters did Burke think a French royalist was worth?,twenty,593,"Burke published his Remarks on the Policy of the Allies with Respect to France, begun in October, where he said: ""I am sure every thing has shewn us that in this war with France, one Frenchman is worth twenty foreigners."
Christian,56df322e96943c1400a5d2d4,What does Masīḥī mean?,followers of the Messiah,216,"In Arabic-speaking cultures, two words are commonly used for Christians: Naṣrānī (نصراني), plural Naṣārā (نصارى) is generally understood to be derived from Nazareth through the Syriac (Aramaic); Masīḥī (مسيحي) means followers of the Messiah."
Serbo-Croatian,572a0b606aef0514001551ff,Today's Croatian language has its roots in what other language?,Old Croatian,666,"This has been used as an argument to state that Croatian literature Croatian per se, but also includes Serbian and other languages that are part of Serbo-Croatian, These facts undermine the Croatian language proponents' argument that modern-day Croatian is based on a language called Old Croatian."
Qing_dynasty,57312388e6313a140071cc77,What parts of China did they come from?,Jilin and Heilongjiang,246,"The Qing dynasty was founded not by Han Chinese, who constitute the majority of the Chinese population, but by a sedentary farming people known as the Jurchen, a Tungusic people who lived around the region now comprising the Chinese provinces of Jilin and Heilongjiang."
"New_Haven,_Connecticut",572bb90c34ae481900deaeea,What is the name of the well known hospital specializes in young children patients?,New Haven Children's Hospital,231,"There are two major medical centers downtown: Yale – New Haven Hospital has four pavilions, including the Yale – New Haven Children's Hospital and the Smilow Cancer Hospital; the Hospital of Saint Raphael is several blocks north, and touts its excellent cardiac emergency care program."
Heresy,56de7126cffd8e1900b4b8e9,What belief did Galileo have at the time that appeared to be extremely heretical to the church?,the Sun lies motionless at the centre of the universe,253,"Galileo was found ""vehemently suspect of heresy"", namely of having held the opinions that the Sun lies motionless at the centre of the universe, that the Earth is not at its centre and moves, and that one may hold and defend an opinion as probable after it has been declared contrary to Holy Scripture."
British_Empire,57266d6c5951b619008f726b,"In the 'second' British Empire period, Britain refocused on which areas?","Asia, the Pacific and later Africa",281,"The loss of such a large portion of British America, at the time Britain's most populous overseas possession, is seen by some historians as the event defining the transition between the ""first"" and ""second"" empires, in which Britain shifted its attention away from the Americas to Asia, the Pacific and later Africa."
Hunter-gatherer,56dfc4a47aa994140058e17d,"Besides avoiding government controls, what other reason could they have?",agriculture became difficult,525,"In the Brazilian rainforest, those groups that recently did, or even continue to, rely on hunting and gathering techniques seem to have adopted this lifestyle, abandoning most agriculture, as a way to escape colonial control and as a result of the introduction of European diseases reducing their populations to levels where agriculture became difficult."
51st_state,57304a372461fd1900a9ccf4,What does the phrase protest?,their lack of Congressional representation,209,"Washington, D.C. residents who support the statehood movement sometimes use a shortened version of the Revolutionary War protest motto ""No taxation without representation"", omitting the initial ""No"", denoting their lack of Congressional representation; the phrase is now printed on newly issued Washington, D.C. license plates (although a driver may choose to have the Washington, D.C. website address instead)."
Karl_Popper,5728de173acd2414000e00b7,What did Popper say must be the beginning phase of science?,the critical discussion of myths,635,"Also, in his collection Conjectures and Refutations: The Growth of Scientific Knowledge (Harper & Row, 1963), Popper writes, ""Science must begin with myths, and with the criticism of myths; neither with the collection of observations, nor with the invention of experiments, but with the critical discussion of myths, and of magical techniques and practices."
Imperial_College_London,570a4d866d058f1900182d4b,Who did not know about the potential revenue that the programme could have raised initially?,the public,406,"In December 2005, Imperial announced a science park programme at the Wye campus, with extensive housing; however, this was abandoned in September 2006 following complaints that the proposal infringed on Areas of Outstanding Natural Beauty, and that the true scale of the scheme, which could have raised £110m for the College, was known to Kent and Ashford Councils and their consultants but concealed from the public."
Near_East,56f8f36a9b226e1400dd11e8,By what year were three empires gone? ,1918,375,"In a few years these alignments became the Triple Entente and the Triple Alliance (already formed in 1882), which were in part a cause of World War I. By its end in 1918 three empires were gone, a fourth was about to fall to revolution, and two more, the British and French, were forced to yield in revolutions started under the aegis of their own ideologies."
Genocide,573206f1b9d445190005e73d,"What elements of group existence, other than people themselves, can be targets of genocide?","language, culture, and economic infrastructure",380,"The word genocide was later included as a descriptive term to the process of indictment, but not yet as a formal legal term According to Lemming, genocide was defined as ""a coordinated strategy to destroy a group of people, a process that could be accomplished through total annihilation as well as strategies that eliminate key elements of the group's basic existence, including language, culture, and economic infrastructure.”"
Dwight_D._Eisenhower,5732553d0fdd8d15006c69d2,What state was Frank Abrams' oil company located in?,New Jersey,450,"Meanwhile, Columbia University's liberal faculty members became disenchanted with the university president's ties to oilmen and businessmen, including Leonard McCollum, the president of Continental Oil; Frank Abrams, the chairman of Standard Oil of New Jersey; Bob Kleberg, the president of the King Ranch; H. J. Porter, a Texas oil executive; Bob Woodruff, the president of the Coca-Cola Corporation; and Clarence Francis, the chairman of General Foods."
History_of_science,5726ebefdd62a815002e9552,What are people who study nature called?,natural philosophers,159,"Previously, people investigating nature called themselves natural philosophers."
Somalis,56fae9108f12f319006302b2,"Along with silk, saree fabric or chiffon, what might the dirac be made out of?",taffeta,563,"It is a long, light, diaphanous voile dress made of silk, chiffon, taffeta or saree fabric."
Crimean_War,5726f1425951b619008f8302,What was the name of the ship that was attacked outside of the Odessa harbor?,Furious,542,There was little additional naval action until March 1854 when on the declaration of war the British frigate Furious was fired on outside Odessa harbour.
Dog,56d9e6f0dc89441400fdb8eb,"The West, South Asia and Middle East think eating dogs is what?",taboo,429,"However, Western, South Asian, African, and Middle Eastern cultures, in general, regard consumption of dog meat as taboo."
Bacteria,572fb5b0b2c2fd1400568397,What are ribosomes in endospores are enclosed in?,cortex layer,435,Endospores have a central core of cytoplasm containing DNA and ribosomes surrounded by a cortex layer and protected by an impermeable and rigid coat.
Carnival,572785ddf1498d1400e8fabf,Who creates sparks and explosions?,ritual crew of devils,431,"A correfoc (fire run) or Devil's dance (Ball de diables, features dancing youth amid the sparks and explosions of the ritual crew of devils."
Dutch_language,57265aba5951b619008f7079,"If a West Fleming speaker were being extra careful to avoid the silent ""h,"" they might over-correct into what sound?",g-sound,781,"Or in some cases, they are aware of the problem, and hyper-correct the ""h"" into a voiced velar fricative or g-sound, again leaving no difference."
Northwestern_University,5727eae03acd2414000defdd,What does the Evanston Campus Framework Plan outline?,future development of the Evanston Campus,641,"The university also released at the beginning of the 2008–09 academic year the Evanston Campus Framework Plan, which outlines plans for future development of the Evanston Campus."
Hunter-gatherer,56dfca3c231d4119001abdff,How many members did the mobile tool-making hunters often have?,25 to 50 members,680,"This early Paleo-Indian period lithic reduction tool adaptations have been found across the Americas, utilized by highly mobile bands consisting of approximately 25 to 50 members of an extended family."
Montevideo,5725d297271a42140099d24a,Where were the Spaniards emanating from?,Buenos Aires,181,The first set of subsidiary forts were planned by the Portuguese at Montevideo in 1701 to establish a front line base to stop frequent insurrections by the Spaniards emanating from Buenos Aires.
Franco-Prussian_War,570d5cf5fed7b91900d45f41,What was the estimated number of troops in Prussia's 3rd Army?,"140,000 troops",364,"The Crown Prince of Prussia's 3rd army had, on the quick reaction of his Chief of Staff General von Blumenthal, drawn reinforcements which brought its strength up to 140,000 troops."
Qing_dynasty,57312bb0497a881900248bff,What dynasty did Zicheng form?,Shun,385,"In April 1644, the capital at Beijing was sacked by a coalition of rebel forces led by Li Zicheng, a former minor Ming official, who established a short-lived Shun dynasty."
Orthodox_Judaism,57098329200fba14003680eb,What was the name of the manifesto that Rabbi Jacob Ettlinger produced?,Shlomei Emunei Yisrael,494,"As a group of Reform Rabbis convened in Braunschweig, Rabbi Jacob Ettlinger of Altona published a manifesto entitled ""Shlomei Emunei Yisrael"" in German and Hebrew, having 177 Rabbis sign on."
Immaculate_Conception,5730ba5c8ab72b1400f9c716,Who were the parents of Mary believed to be ?,Saint Joachim and Saint Anne,418,"Catholics believe that Mary was not the product of a virginal conception herself but was the daughter of a human father and mother, traditionally known by the names of Saint Joachim and Saint Anne."
Christian,56df20e5c65bf219000b3f7c,Where is Nazareth located?,northern Israel,251,"The term for a Christian in Hebrew is נוּצְרי (Notzri—""Nazarene""), a Talmudic term originally derived from the fact that Jesus came from the Galilean village of Nazareth, today in northern Israel."
Religion_in_ancient_Rome,5731b0b30fdd8d15006c645b,When were the gods below and the dead celebrated?,nighttime,152,"Chthonic gods such as Dis pater, the di inferi (""gods below""), and the collective shades of the departed (di Manes) were given dark, fertile victims in nighttime rituals."
Slavs,56f74522aef2371900625a83,Old Church Slavonic manuscripts were based on the local Slavic speech of what?,Thessaloniki,549,"Slavic linguistic unity was to some extent visible as late as Old Church Slavonic manuscripts which, though based on local Slavic speech of Thessaloniki, could still serve the purpose of the first common Slavic literary language."
Anthropology,5733cc56d058e614000b62a1,What type of action does applied anthropology initiate?,direct,315,"It is a, ""complex of related, research-based, instrumental methods which produce change or stability in specific cultural systems through the provision of data, initiation of direct action, and/or the formulation of policy""."
University_of_Notre_Dame,5733b5344776f419006610df,What does the Kroc Institute at Notre Dame focus on?,International Peace studies,427,"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns."
Black_people,57070e0c9e06ca38007e9342,Who is John Punch?,the first African slave in the Virginia colony,198,"In July 2012, Ancestry.com reported on historic and DNA research by its staff that discovered that Obama is likely a descendant through his mother of John Punch, considered by some historians to be the first African slave in the Virginia colony."
Insect,57299ef46aef05140015503f,What kind of insect can damage architectural structures?,termites,194,"Insects commonly regarded as pests include those that are parasitic (e.g. lice, bed bugs), transmit diseases (mosquitoes, flies), damage structures (termites), or destroy agricultural goods (locusts, weevils)."
Han_dynasty,572f7de2947a6a140053c9cb,What literal work were followers of Laozi expected to chant?,Daodejing,687,"6th century BC) was a holy prophet who would offer salvation and good health if his devout followers would confess their sins, ban the worship of unclean gods who accepted meat sacrifices and chant sections of the Daodejing."
Videoconferencing,570b00026b8089140040f6a0,When was the first slow-scan video systems researched?,the 1950s,297,"Attempts at using normal telephony networks to transmit slow-scan video, such as the first systems developed by AT&T Corporation, first researched in the 1950s, failed mostly due to the poor picture quality and the lack of efficient video compression techniques."
Hunting,57344adb879d6814001ca4bb,What type of hunting is unlawful?,clamorosa,692,"XXIV, De reform., c. xii), which seems to imply that not all hunting is illicit, and canonists generally make a distinction declaring noisy (clamorosa) hunting unlawful, but not quiet (quieta) hunting."
Bird,57311a4705b4da19006bcda2,Some penguins have been recording diving up to how many feet?,980,707,"Several families of birds have adapted to life both on the world's oceans and in them, with some seabird species coming ashore only to breed and some penguins have been recorded diving up to 300 metres (980 ft)."
Genome,56dc575814d3a41400c267e4,What organization first sequenced a bacterial genome?,Institute for Genomic Research,495,"The first complete genome sequences among all three domains of life were released within a short period during the mid-1990s: The first bacterial genome to be sequenced was that of Haemophilus influenzae, completed by a team at The Institute for Genomic Research in 1995."
Federalism,57283ceb4b864d19001647d3,What are the two components in the Belgian political landscape?,"the Dutch-speaking population represented by Dutch-language political parties, and the majority populations of Wallonia and Brussels",115,"On one hand, this means that the Belgian political landscape, generally speaking, consists of only two components: the Dutch-speaking population represented by Dutch-language political parties, and the majority populations of Wallonia and Brussels, represented by their French-speaking parties."
Detroit,5728c9553acd2414000dfe7a,Who did a documentary on Motown?,Paul Justman,500,"Artists were backed by in-house vocalists The Andantes and The Funk Brothers, the Motown house band that was featured in Paul Justman's 2002 documentary film Standing in the Shadows of Motown, based on Allan Slutsky's book of the same name."
Szlachta,56f803c3a6d7ea1400e17383,When were most ennoblements implemented?,final years of the late 18th century,235,"According to heraldic sources 1,600 is a total estimated number of all legal ennoblements throughout the history of Kingdom of Poland and Polish-Lithuanian Commonwealth from the 14th century onward (half of which were performed in the final years of the late 18th century)."
2008_Sichuan_earthquake,56d5324d2593cc1400307ac9,What should the government of China be responsible for providing to earthquake survivors?,medical treatment,603,"The Vice Minister of Health also suggested that the government would pick up the costs of care to earthquake victims, many of whom have little or no insurance: ""The government should be responsible for providing medical treatment to them,"" he said."
Computer,56fdf33b19033b140034cdf6,What type of computer of Grace Hopper's was shorted by a moth?,Harvard Mark II,205,"Admiral Grace Hopper, an American computer scientist and developer of the first compiler, is credited for having first used the term ""bugs"" in computing after a dead moth was found shorting a relay in the Harvard Mark II computer in September 1947."
Bras%C3%ADlia,5731ea7eb9d445190005e684,"As of 2000, how many people lived in Ceilândia?",344039,376,"The satellite cities served are more populated in total than the Plano Piloto itself (the census of 2000 indicated that Ceilândia had 344,039 inhabitants, Taguatinga had 243,575, whereas the Plano Piloto had approximately 400,000 inhabitants), and most residents of the satellite cities depend on public transportation."
Frédéric_Chopin,56cfdb3e234ae51400d9bf7f,What was the name of Liszt's mistress?,Marie d'Agoult,1168,"Some commentators point to events in the two men's romantic lives which led to a rift between them; there are claims that Liszt had displayed jealousy of his mistress Marie d'Agoult's obsession with Chopin, while others believe that Chopin had become concerned about Liszt's growing relationship with George Sand."
United_Nations_Population_Fund,56df5a8096943c1400a5d40f,UNFPA's mission is to promote the rights and health of whom?,women and young people,266,"UNFPA works in partnership with governments, along with other United Nations agencies, communities, NGOs, foundations and the private sector, to raise awareness and mobilize the support and resources needed to achieve its mission to promote the rights and health of women and young people."
Adolescence,570d7fc7fed7b91900d461d1,How can the ideal self be described in terms of the adolescent?,who the adolescent wishes to be,340,"Exploring these possibilities may result in abrupt changes in self-presentation as the adolescent chooses or rejects qualities and behaviors, trying to guide the actual self toward the ideal self (who the adolescent wishes to be) and away from the feared self (who the adolescent does not want to be)."
Immaculate_Conception,5731070b05b4da19006bcce5,What does the book of Muslim faith state in regards to how every person is born ?,in Islam every human child is born pure and immaculate,168,"Others have rejected that the doctrine of Immaculate Conception exists in Islam, the Quranic account does not confirm the Immaculate Conception exclusively for Mary as in Islam every human child is born pure and immaculate, her sinless birth is thus independent of the Christian docrtrine of original sin as no such doctrine exists in Islam."
Super_Nintendo_Entertainment_System,5730a4e0069b5314008321f5,What market did the Genesis target?,older gamers,230,"The rivalry between Nintendo and Sega resulted in what has been described as one of the most notable console wars in video game history, in which Sega positioned the Genesis as the ""cool"" console, with more mature titles aimed at older gamers, and edgy advertisements that occasionally attacked the competition."
Marvel_Comics,5726943c708984140094cac7,What movie features the characters Baymax and Hiro?,Big Hero 6,863,"This clause has allowed Walt Disney World to have meet and greets, merchandise, attractions and more with other Marvel characters not associated with the characters at Islands of Adventures, such as Star-Lord and Gamora from Guardians of the Galaxy as well as Baymax and Hiro from Big Hero 6."
History_of_India,57286fe02ca10214002da353,What philosophy  formed at the time of the Gupta Empire?,Hindu culture,402,"This period has been called the Golden Age of India and was marked by extensive achievements in science, technology, engineering, art, dialectic, literature, logic, mathematics, astronomy, religion, and philosophy that crystallized the elements of what is generally known as Hindu culture."
Pacific_War,57324d08e99e3014001e667d,"Who gained Manchukuo, Mengjiang, and northern Korea after the Manchurian Strategic Offensive Campaign?",Soviet Union,272,"The Manchurian Strategic Offensive Operation began on 9 August 1945, with the Soviet invasion of the Japanese puppet state of Manchukuo and was the last campaign of the Second World War and the largest of the 1945 Soviet–Japanese War which resumed hostilities between the Soviet Union and the Empire of Japan after almost six years of peace."
